id,name,website,submission_url,domain,reported_dr,reported_link,category,pricing,metric_provider,source_url,source_retrieved_at,source_snapshot_date,measured_at,route_status,eligibility,flags,quarantined
d_5b06b57e06c36541,Adsby,https://adsby.co/,,adsby.co,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_21f04607f164b68f,Astronuts,https://astronuts.io/,,astronuts.io,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_3bf45ca8ce510d03,"Awesome [source badge, not a submission]",https://awesome.re/,,awesome.re,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Suspect source data; Possible non-destination captured by source; excluded,True
d_b872e118a2ccc993,BacklinkGPT,https://backlinkgpt.com/,,backlinkgpt.com,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_568f02b1a98fc0e8,Big Startups [source URL suspect],https://biqstartups.co/overview/sub,,biqstartups.co,18,follow,Directory,unknown,Unverified; source describes Ahrefs-style DR,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Suspect source data; Source path requires review,True
d_1e55f9716b03d5af,Boilermates,https://boilermat.es/,,boilermat.es,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_7394093d891c3b6b,ByeDispute,https://byedispute.com/,,byedispute.com,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_56e1355d18f4f874,CharmUI,https://charmui.com/,,charmui.com,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_471f4f254554d5f9,ChromeKit,https://chromekit.dev/,,chromekit.dev,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
d_f36116ce461ddd6b,Clobbr,https://clobbr.app/,,clobbr.app,,unknown,Directory,unknown,Not supplied by source,https://github.com/mezmer90/saas-directories/blob/main/saas-directories.csv,2026-09-18,,,needs-research,,Possible non-destination captured by source; excluded,True
